regulatoryGene,targetGene,weight
1,SYNPCC7942_RS06230,SYNPCC7942_RS06235,0.241289185705705
2,SYNPCC7942_RS05680,SYNPCC7942_RS07845,0.214319542552551
3,SYNPCC7942_RS08885,SYNPCC7942_RS12200,0.197579462408661
4,SYNPCC7942_RS03075,SYNPCC7942_RS10555,0.184236958791646
5,SYNPCC7942_RS05680,SYNPCC7942_RS05400,0.179969562942111
6,SYNPCC7942_RS03075,SYNPCC7942_RS08225,0.17953909703331
7,SYNPCC7942_RS05680,SYNPCC7942_RS05395,0.178354880627314
8,SYNPCC7942_RS03075,SYNPCC7942_RS09325,0.175119261172305
9,SYNPCC7942_RS03260,SYNPCC7942_RS03265,0.165088977991292
10,SYNPCC7942_RS03260,SYNPCC7942_RS03255,0.160633463494701
11,SYNPCC7942_RS03075,SYNPCC7942_RS09380,0.160255903271099
12,SYNPCC7942_RS03075,SYNPCC7942_RS01415,0.159061324171753
13,SYNPCC7942_RS11465,SYNPCC7942_RS03575,0.158626272103686
14,SYNPCC7942_RS07435,SYNPCC7942_RS08865,0.155937926484296
15,SYNPCC7942_RS10700,SYNPCC7942_RS04935,0.154871099123534
16,SYNPCC7942_RS11465,SYNPCC7942_RS06030,0.154538721165934
17,SYNPCC7942_RS03075,SYNPCC7942_RS12115,0.154441566083793
18,SYNPCC7942_RS03325,SYNPCC7942_RS01335,0.154396516180935
19,SYNPCC7942_RS03260,SYNPCC7942_RS11230,0.15437747367693
20,SYNPCC7942_RS09435,SYNPCC7942_RS09370,0.152917139072592
21,SYNPCC7942_RS09380,SYNPCC7942_RS11105,0.152878182729061
22,SYNPCC7942_RS07185,SYNPCC7942_RS11705,0.152458741893854
23,SYNPCC7942_RS05640,SYNPCC7942_RS05900,0.152377734534848
24,SYNPCC7942_RS03260,SYNPCC7942_RS11315,0.151950460555807
25,SYNPCC7942_RS03160,SYNPCC7942_RS00335,0.151756644396214
26,SYNPCC7942_RS00480,SYNPCC7942_RS01720,0.15123524625159
27,SYNPCC7942_RS03160,SYNPCC7942_RS10350,0.151114989223342
28,SYNPCC7942_RS05680,SYNPCC7942_RS08350,0.150213917222835
29,SYNPCC7942_RS11465,SYNPCC7942_RS01695,0.150159054551419
30,SYNPCC7942_RS11465,SYNPCC7942_RS10755,0.150090601816822
31,SYNPCC7942_RS08645,SYNPCC7942_RS13020,0.149927814344421
32,SYNPCC7942_RS07435,SYNPCC7942_RS07280,0.149906106507096
33,SYNPCC7942_RS09380,SYNPCC7942_RS10555,0.149190422442391
34,SYNPCC7942_RS07435,SYNPCC7942_RS05720,0.148407749581435
