"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","EdgeCount","eigenvector centrality","Indegree","IsSingleNode","k-core","louvian_cluster","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress","TF"
"1.0","0.0038290827467828597","1.0","0.0","2","1","2","0.019676630324012304","1","false","2","11","SYNPCC7942_RS06230","38.0","1","0","false","0","SYNPCC7942_RS06230","3016","1"
"0.0","0.0","0.0","0.0","2","0","2","0.041735577146243645","2","false","2","11","SYNPCC7942_RS06235","24.0","0","0","false","0","SYNPCC7942_RS06235","0","0"
"1.0","0.0028489594442243824","1.0","0.0","4","1","4","1.477928030944357E-18","1","false","1","0","SYNPCC7942_RS08885","9.25","3","0","false","0","SYNPCC7942_RS08885","2244","1"
"0.0","0.0","0.0","0.0","1","0","1","3.4762098894503714E-17","1","false","1","0","SYNPCC7942_RS12200","4.0","0","0","false","0","SYNPCC7942_RS12200","0","0"
"1.0588235294117647","0.11999146835674457","0.9444444444444444","0.014705882352941176","18","2","18","0.05563299176054707","2","false","2","2","SYNPCC7942_RS03075","5.0","16","1","false","0","SYNPCC7942_RS03075","94512","1"
"0.0","0.0","0.0","1.0","2","0","2","0.06714808987464774","2","false","2","2","SYNPCC7942_RS10555","10.5","0","0","false","0","SYNPCC7942_RS10555","0","0"
"0.0","0.0","0.0","1.0","2","0","2","0.06714808987464774","2","false","2","2","SYNPCC7942_RS08225","10.5","0","0","false","0","SYNPCC7942_RS08225","0","0"
"0.0","0.0","0.0","0.0","1","0","1","0.039335927325160745","1","false","1","2","SYNPCC7942_RS09325","17.0","0","0","false","0","SYNPCC7942_RS09325","0","0"
"1.5575757575757576","0.11517718394832262","0.6420233463035019","0.004257682339874121","75","3","75","4.33333081343842E-6","1","false","3","3","SYNPCC7942_RS03260","3.135135135135135","74","1","false","0","SYNPCC7942_RS03260","90720","1"
"0.0","0.0","0.0","0.0","1","0","1","4.33333081343842E-6","1","false","1","3","SYNPCC7942_RS03265","74.0","0","0","false","0","SYNPCC7942_RS03265","0","0"
"0.0","0.0","0.0","0.5","3","0","3","0.01968529698563918","3","false","3","20","SYNPCC7942_RS03255","59.333333333333336","0","0","false","0","SYNPCC7942_RS03255","0","0"
"1.7647058823529411","0.008153305503925571","0.5666666666666667","0.16666666666666666","5","2","5","0.039335927325160745","1","false","2","2","SYNPCC7942_RS09380","5.5","4","1","false","0","SYNPCC7942_RS09380","6422","1"
"0.0","0.0","0.0","0.0","1","0","1","0.039335927325160745","1","false","1","2","SYNPCC7942_RS01415","17.0","0","0","false","0","SYNPCC7942_RS01415","0","0"
"1.0136986301369864","0.5134398773068446","0.9864864864864864","0.0020362828582006663","74","2","74","0.027825162541873515","2","false","3","4","SYNPCC7942_RS11465","3.324324324324324","72","0","false","0","SYNPCC7942_RS11465","424704","1"
